"","Respondent_ID_2016","year","qualifications","sex","age","birth_country","religion","social_class","living_status","annual_income","PCODE"
"1","1000407","2016","Associate Diploma","Female",72,"Australia","No Religion","Middle","Major City","60,001-70,000","2607"
"2","1003423","2016","Undergraduate","Male",66,"NESB","No Religion","Middle","Major City","60,001-70,000","2617"
"3","1005902","2016","No Qualification","Female",75,"Australia","Roman Catholic","Middle","Major City","30,001-35,000","2905"
"4","1006956","2016","Non-Trade","Male",47,"Australia","Roman Catholic","Middle","Major City","70,001-80,000","2602"
"5","1008963","2016","Bachelor","Female",46,"Australia","No Religion","Middle","Major City","150,001-160,000","2602"
"6","1009513","2016","Trade","Male",81,"Australia","Presbyterian","Working","Major City","15,001-20,000","2609"
"7","1015480","2016","Non-Trade","Male",70,"Australia","No Religion","Middle","Major City",">180,000","2602"
"8","1017262","2016","No Qualification","Female",34,"Australia","Anglican","None","Major City","100,001-110,000","2904"
"9","1017790","2016","No Qualification","Female",68,"Australia","Anglican","Middle","Major City","90,001-100,000","2914"
"10","1017845","2016","Bachelor","Female",34,"Australia","No Religion","Middle","Major City","160,001-180,000","2617"
"11","1023339","2016","Trade","Male",42,"Australia","Roman Catholic","Middle","Major City","100,001-110,000","2614"
"12","1024979","2016","No Qualification","Female",29,"Australia","Christian Other","Middle","Major City","160,001-180,000","2609"
"13","1027502","2016","Postgraduate","Female",45,"Australia","Anglican","Middle","Major City","160,001-180,000","2604"
"14","1033013","2016","Associate Diploma","Female",59,"ESB","Non-Christian Other","Middle","Rural","50,001-60,000","861"
"15","1057519","2016","Bachelor","Male",67,"Australia","No Religion","None","Major City","160,001-180,000","2226"
"16","1059165","2016","Postgraduate","Male",82,"Australia","Roman Catholic","Middle","Major City","70,001-80,000","2070"
"17","1066261","2016","Trade","Male",81,"Australia","Methodist","Working","Large Town","35,001-40,000","2747"
"18","1078767","2016","Non-Trade","Female",62,"Australia","Roman Catholic","Working","Major City","25,001-30,000","2048"
"19","1079868","2016","Postgraduate","Female",70,"Australia","No Religion","Middle","Major City","50,001-60,000","2226"
"20","1081058","2016","No Qualification","Female",76,"Australia","Roman Catholic","Working","Major City","60,001-70,000","2120"
"21","1082118","2016","Bachelor","Female",58,"Australia","Anglican","Middle","Major City",">180,000","2283"
"22","1083397","2016","No Qualification","Male",69,"Australia","Roman Catholic","Working","Major City","50,001-60,000","2210"
"23","1091480","2016","No Qualification","Male",54,"Australia","Anglican","Middle","Major City","60,001-70,000","2212"
"24","1091741","2016","Non-Trade","Female",62,"Australia","Roman Catholic","Working","Major City","30,001-35,000","2518"
"25","1092276","2016","Undergraduate","Female",57,"Australia","Anglican","None","Major City",">180,000","2135"
"26","1095056","2016","Associate Diploma","Male",73,"NESB","Roman Catholic","Middle","Large Town","15,001-20,000","2761"
"27","1097096","2016","No Qualification","Female",75,"Australia","Roman Catholic","Working","Major City","35,001-40,000","2156"
"28","1097808","2016","Postgraduate","Female",64,"Australia","Roman Catholic","Middle","Large Country Town","120,001-130,000","2428"
"29","1102794","2016","Trade","Male",51,"Australia","Anglican","Working","Large Town","<10,000","2529"
"30","1103514","2016","Bachelor","Male",69,"NESB","Orthodox","Middle","Major City","15,001-20,000","2206"
"31","1104798","2016","Undergraduate","Female",55,"Australia","No Religion","Middle","Major City","150,001-160,000","2193"
"32","1105476","2016","Trade","Female",92,"Australia","Methodist","Working","Rural","100,001-110,000","2707"
"33","1116861","2016","Associate Diploma","Male",49,"Australia","Roman Catholic","Working","Rural","160,001-180,000","2847"
"34","1117068","2016","No Qualification","Female",61,"Australia","Anglican","Middle","Major City","45,001-50,000","2148"
"35","1118330","2016","Trade","Female",74,"Australia","No Religion","Working","Large Town","25,001-30,000","2526"
"36","1122863","2016","Non-Trade","Female",64,"Australia","Non-Christian Other","Middle","Large Country Town","130,001-140,000","2541"
"37","1125108","2016","Non-Trade","Male",56,"Australia","No Religion","Middle","Large Town","90,001-100,000","2641"
"38","1127625","2016","Associate Diploma","Male",62,"Australia","Anglican","Working","Major City","90,001-100,000","2153"
"39","1127634","2016","No Qualification","Female",59,"ESB","Anglican","Middle","Major City","90,001-100,000","2203"
"40","1130303","2016","Postgraduate","Male",76,"Australia","Baptist","Middle","Large Country Town","90,001-100,000","2430"
"41","1132308","2016","Undergraduate","Female",56,"Australia","Roman Catholic","Working","Small Country Town","80,001-90,000","2464"
"42","1132313","2016","Associate Diploma","Male",73,"Australia","Anglican","Working","Major City","40,001-45,000","2210"
"43","1140622","2016","No Qualification","Female",47,"Australia","Roman Catholic","Working","Large Town","70,001-80,000","2650"
"44","1146530","2016","Trade","Male",54,"Australia","Baptist","Working","Large Town","70,001-80,000","2280"
"45","1157602","2016","Trade","Male",41,"Australia","Baptist","Working","Rural","80,001-90,000","2420"
"46","1164353","2016","Non-Trade","Male",50,"Australia","Roman Catholic","Middle","Major City",">180,000","2280"
"47","1165893","2016","Associate Diploma","Male",56,"Australia","Roman Catholic","None","Major City","90,001-100,000","2036"
"48","1166552","2016","Associate Diploma","Female",63,"Australia","No Religion","None","Large Town","20,001-25,000","2444"
"49","1175588","2016","Bachelor","Female",64,"NESB","Roman Catholic","Middle","Major City","70,001-80,000","2042"
"50","1179941","2016","Postgraduate","Female",70,"Australia","Anglican","Middle","Small Country Town","20,001-25,000","2548"
"51","1190841","2016","Associate Diploma","Male",60,"Australia","Roman Catholic","Middle","Major City","90,001-100,000","2154"
"52","1192099","2016","Bachelor","Male",53,"NESB","Roman Catholic","Working","Major City","140,001-150,000","2200"
"53","1195872","2016","No Qualification","Female",49,"Australia","Anglican","Working","Large Country Town","100,001-110,000","2754"
"54","1199145","2016","Bachelor","Female",47,"Australia","Roman Catholic","Middle","Major City",">180,000","2101"
"55","1199293","2016","Bachelor","Male",60,"Australia","No Religion","Middle","Major City",">180,000","2085"
