"","year","Respondent_ID_2016","vote_house","importance_taxation","importance_immigration","importance_education","importance_environment","importance_debt","importance_health","importance_refugees","importance_climate","importance_superannuation","importance_economy","party_taxation","party_immigration","party_education","party_environment","party_debt","party_health","party_refugees","party_climate","party_superannuation","party_economy","issue_importance","issue_importance2","secondpref"
"1","2016","1000407","Labor","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Quite Important","Labor","No Difference","Labor","No Difference","Labor","Labor","Labor","No Difference","No Difference","No Difference","Health","Education",NA
"2","2016","1003423","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Labor","No Difference","Labor","No Difference","No Difference","Labor","No Difference","No Difference","No Difference","Labor","Education","Taxation",NA
"3","2016","1006956","Labor","Quite Important","Quite Important","Quite Important","Quite Important","Not Very Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Labor","No Difference","No Difference","Labor","No Difference","Labor","Labor","Labor","Labor","Labor","Superannuation","Immigration",NA
"4","2016","1017790","Labor","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","Economy","Climate",NA
"5","2016","1066261","Labor","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Liberal","Liberal","Labor","Labor","Liberal","Labor","Labor","Liberal","Liberal","Labor","Refugees","Health",NA
"6","2016","1079868","Labor","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Quite Important","Labor","Labor","Labor","Labor","No Difference","Labor","Labor","Labor","Labor","No Difference","Environment","Refugees","Labor"
"7","2016","1091480","Labor","Extremely Important","Quite Important","Quite Important","Not Very Important","Extremely Important","Extremely Important","Quite Important","Not Very Important","Extremely Important","Extremely Important","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","Superannuation","Debt",NA
"8","2016","1095056","Labor","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Quite Important","Labor","Labor","Labor","No Difference","No Difference","Labor","Labor","No Difference","No Difference","No Difference","Health","Economy",NA
"9","2016","1132308","Labor","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Labor","Labor","Labor","No Difference","No Difference","Labor","Labor","No Difference","Labor","No Difference","Health","Economy",NA
"10","2016","1179941","Labor","Not Very Important","Not Very Important","Quite Important","Quite Important","Not Very Important","Quite Important","Quite Important","Quite Important","Not Very Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Education","Environment",NA
"11","2016","1192099","Labor","Extremely Important","Quite Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","No Difference","No Difference","Labor","No Difference","No Difference","Labor","No Difference","No Difference","Labor","No Difference","Superannuation","Refugees",NA
"12","2016","1195872","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Health","Education",NA
"13","2016","1199293","Labor","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Quite Important","Labor","Labor","Labor","Labor","No Difference","Labor","Labor","Labor","No Difference","No Difference","Health","Refugees",NA
"14","2016","1234096","Labor","Quite Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Extremely Important","Not Very Important","Not Very Important","Extremely Important","Extremely Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Health","Superannuation",NA
"15","2016","1242126","Labor","Quite Important","Not Very Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Liberal","No Difference","Labor","Liberal","Liberal","Labor","No Difference","Labor","Labor","Liberal","Environment","Education","Labor"
"16","2016","1275150","Labor","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Labor","No Difference","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Education","Health",NA
"17","2016","1298569","Labor","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Health","Education",NA
"18","2016","1317792","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Quite Important","Not Very Important","Quite Important","Quite Important","Quite Important","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","Education","Economy","Labor"
"19","2016","1350392","Labor","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Labor","No Difference","Labor","Labor","No Difference","Labor","No Difference","No Difference","Labor","Labor","Health","Education",NA
"20","2016","1375254","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Not Very Important","Not Very Important","Quite Important","Quite Important","No Difference","No Difference","Liberal","Labor","Liberal","Labor","No Difference","No Difference","Liberal","No Difference","Health","Taxation",NA
"21","2016","1389851","Labor","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Quite Important","No Difference","Liberal","Labor","No Difference","No Difference","Labor","Liberal","No Difference","Labor","No Difference","Taxation","Health",NA
"22","2016","1426480","Labor","Quite Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Liberal","Liberal","Labor","Labor","Liberal","Liberal","Liberal","Labor","Liberal","Liberal","Superannuation","Economy",NA
"23","2016","1455811","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","No Difference","No Difference","No Difference","No Difference","No Difference","Labor","No Difference","No Difference","No Difference","No Difference","Economy","Refugees",NA
"24","2016","1460002","Labor","Quite Important","Not Very Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Not Very Important","Labor","No Difference","Labor","Labor","No Difference","Labor","No Difference","Labor","Labor","No Difference","Education","Climate",NA
"25","2016","1473954","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Education","Environment",NA
"26","2016","1475630","Labor","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Quite Important","Extremely Important","Not Very Important","Quite Important","Labor","Labor","Labor","Labor","No Difference","Labor","No Difference","Labor","Labor","Labor","Education","Economy",NA
"27","2016","1530344","Labor","Quite Important","Not Very Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Not Very Important","Quite Important","Labor","No Difference","Labor","No Difference","Liberal","Labor","No Difference","No Difference","No Difference","Liberal","Health","Climate",NA
"28","2016","1533886","Labor","Quite Important","Quite Important","Extremely Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Extremely Important","Labor","No Difference","Labor","Labor","Liberal","Labor","Labor","Labor","Labor","Liberal","Economy","Education",NA
"29","2016","1565572","Labor","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Liberal","Labor","Labor","Labor","Liberal","Labor","Labor","Labor","Liberal","Liberal","Health","Environment",NA
"30","2016","1602802","Labor","Extremely Important","Extremely Important","Extremely Important","Quite Important","Not Very Important","Extremely Important","Not Very Important","Quite Important","Extremely Important","Quite Important","Labor","No Difference","Labor","No Difference","Labor","Labor","No Difference","No Difference","Labor","No Difference","Superannuation","Economy",NA
"31","2016","1627715","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Labor","No Difference","Liberal","Labor","Liberal","Liberal","No Difference","Labor","Labor","Liberal","Superannuation","Education",NA
"32","2016","1633640","Labor","Extremely Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Quite Important","Labor","No Difference","Labor","No Difference","No Difference","Labor","No Difference","Labor","Labor","No Difference","Environment","Climate","Labor"
"33","2016","1640365","Labor","Quite Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Health","Education",NA
"34","2016","1654531","Labor","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Labor","Labor","Liberal","Labor","Labor","Labor","Labor","Liberal","Labor","Liberal","Superannuation","Taxation",NA
"35","2016","1686678","Labor","Quite Important","Quite Important","Extremely Important","Quite Important","Not Very Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Labor","Labor","Labor","No Difference","Labor","Labor","Liberal","No Difference","Labor","No Difference","Health","Education",NA
"36","2016","1706073","Labor","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Health","Education",NA
"37","2016","1742241","Labor","Extremely Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Labor","Labor","Labor","Labor","No Difference","Labor","Labor","Labor","Labor","Labor","Taxation","Health",NA
"38","2016","1796243","Labor","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Economy","Refugees",NA
"39","2016","1803289","Labor","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Labor","No Difference","Labor","Labor","No Difference","Labor","No Difference","Labor","No Difference","No Difference","Health","Climate",NA
"40","2016","1806096","Labor","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Labor","No Difference","Labor","Labor","Labor","Labor","No Difference","Labor","No Difference","Labor","Debt","Immigration",NA
"41","2016","1811836","Labor","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Labor","No Difference","Labor","No Difference","No Difference","Labor","No Difference","No Difference","No Difference","No Difference","Environment","Climate","Labor"
"42","2016","1865914","Labor","Quite Important","Quite Important","Quite Important","Quite Important","Not Very Important","Quite Important","Not Very Important","Not Very Important","Quite Important","Quite Important","Labor","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","Economy","Climate",NA
"43","2016","1958758","Labor","Extremely Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Quite Important","Labor","Labor","Labor","No Difference","Labor","Labor","Labor","No Difference","No Difference","Labor","Health","Taxation",NA
"44","2016","1974575","Labor","Not Very Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Quite Important","Extremely Important","Not Very Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","No Difference","Education","Environment",NA
"45","2016","2062273","Labor","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Labor","Labor","Labor","No Difference","No Difference","Labor","No Difference","No Difference","Labor","No Difference","Health","Refugees",NA
"46","2016","2078757","Labor","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Health","Education",NA
"47","2016","2081271","Labor","Not Very Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Quite Important","Labor","No Difference","Labor","Labor","No Difference","Labor","No Difference","Labor","No Difference","No Difference","Economy","Taxation","Labor"
"48","2016","2082569","Labor","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Labor","No Difference","Labor","Labor","Labor","Labor","No Difference","Labor","No Difference","Labor","Taxation","Health","Labor"
"49","2016","2093533","Labor","Quite Important","Not Very Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Not Very Important","Quite Important","Quite Important","Extremely Important","Labor","Labor","Labor","Labor","Liberal","Labor","Labor","Labor","Labor","Labor","Economy","Superannuation",NA
"50","2016","2100616","Labor","Quite Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Liberal","Liberal","Labor","Labor","Liberal","Labor","Liberal","Labor","Labor","Liberal","Health","Education",NA
"51","2016","2108115","Labor","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","No Difference","No Difference","No Difference","No Difference","No Difference","Labor","No Difference","No Difference","No Difference","No Difference","Health","Education",NA
"52","2016","2109409","Labor","Quite Important","Extremely Important","Quite Important","Quite Important","Quite Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Labor","Liberal","No Difference","Labor","No Difference","No Difference","Labor","Labor","No Difference","No Difference","Immigration","Superannuation",NA
"53","2016","2111006","Labor","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Economy","Taxation",NA
"54","2016","2133725","Labor","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Environment","Economy",NA
"55","2016","2138555","Labor","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Labor","No Difference","Labor","Labor","No Difference","Labor","No Difference","Labor","Labor","No Difference","Superannuation","Economy",NA
"56","2016","2146822","Labor","Not Very Important","Quite Important","Quite Important","Not Very Important","Not Very Important","Not Very Important","Extremely Important","Not Very Important","Quite Important","Extremely Important","Liberal","Liberal","Labor","No Difference","Liberal","No Difference","Liberal","No Difference","Liberal","Liberal","Debt","Refugees",NA
"57","2016","2160080","Labor","Quite Important","Not Very Important","Quite Important","Quite Important","Not Very Important","Quite Important","Not Very Important","Quite Important","Quite Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Health","Superannuation",NA
"58","2016","2215507","Labor","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","Quite Important","Not Very Important","Labor","Labor","Labor","Labor","Liberal","Liberal","Labor","Labor","Labor","Labor","Education","Taxation",NA
"59","2016","2235615","Labor","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Labor","Labor","Labor","Labor","Labor","Labor","No Difference","Labor","Labor","Labor","Health","Education","Labor"
"60","2016","2238712","Labor","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Labor","Labor","Labor","Labor","Labor","Labor","No Difference","Labor","Labor","Labor","Climate","Economy",NA
"61","2016","2303281","Labor","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Labor","No Difference","Labor","Labor","Labor","Labor","No Difference","Labor","Labor","Labor","Health","Environment",NA
